id,entity_id,vehicle_trip_trip_id,vehicle_vehicle_id,vehicle_trip_direction_id,vehicle_trip_start_time,vehicle_trip_start_date,vehicle_trip_schedule_relationship,vehicle_vehicle_label,vehicle_vehicle_license_plate,vehicle_vehicle_wheelchair_accessible,vehicle_position_latitude,vehicle_position_longitude,vehicle_position_point,vehicle_position_bearing,vehicle_position_odometer,vehicle_position_speed,vehicle_current_stop_sequence,vehicle_trip_route_id,vehicle_current_status,vehicle_timestamp,vehicle_congestion_level,vehicle_stop_id,vehicle_occupancy_percentage,vehicle_occupancy_status,feed_message_id
2701767,y1201,61885875,y1201,0,0 days 08:32:00,2024-06-01,SCHEDULED,1201,,,42.334507,-71.10415,0101000020E610000038F8C264AAC651C03CA41820D12A4540,241.0,,,10,39,STOPPED_AT,2024-06-01 06:43:36-06:00,,92391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717245818
2465415,y1675,62045575,y1675,0,0 days 05:10:00,2024-06-01,SCHEDULED,1675,,,42.361374,-71.05746,0101000020E61000000135B56CADC351C0F6CFD380412E4540,344.0,,,1,39,STOPPED_AT,2024-06-01 03:16:22-06:00,,117,20.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717233387
2465569,y1675,62045575,y1675,0,0 days 05:10:00,2024-06-01,SCHEDULED,1675,,,42.362072,-71.05796,0101000020E6100000791EDC9DB5C351C00E661360582E4540,352.0,,,1,39,STOPPED_AT,2024-06-01 03:16:39-06:00,,117,20.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717233402
2465722,y1675,62045575,y1675,0,0 days 05:10:00,2024-06-01,SCHEDULED,1675,,,42.362026,-71.058014,0101000020E6100000732D5A80B6C351C09E2633DE562E4540,0.0,,,1,39,STOPPED_AT,2024-06-01 03:16:55-06:00,,117,20.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717233417
2471262,y1675,62045575,y1675,0,0 days 05:10:00,2024-06-01,SCHEDULED,1675,,,42.351196,-71.069916,0101000020E6100000E65DF58079C451C0363E93FDF32C4540,131.0,,,7,39,STOPPED_AT,2024-06-01 03:25:07-06:00,,177,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717233913
2471440,y1675,62045575,y1675,0,0 days 05:10:00,2024-06-01,SCHEDULED,1675,,,42.35121,-71.07019,0101000020E610000066A032FE7DC451C09B030473F42C4540,270.0,,,7,39,STOPPED_AT,2024-06-01 03:25:14-06:00,,177,20.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717233928
2471618,y1675,62045575,y1675,0,0 days 05:10:00,2024-06-01,SCHEDULED,1675,,,42.35083,-71.07098,0101000020E6100000E3AAB2EF8AC451C0543A58FFE72C4540,244.0,,,7,39,STOPPED_AT,2024-06-01 03:25:37-06:00,,177,20.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717233943
2471697,y1201,61885868,y1201,0,0 days 05:30:00,2024-06-01,SCHEDULED,1201,,,42.34761,-71.073975,0101000020E61000002F6EA301BCC451C09CE1067C7E2C4540,262.0,,,1,39,STOPPED_AT,2024-06-01 03:25:38-06:00,,23391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717233943
2471796,y1675,62045575,y1675,0,0 days 05:10:00,2024-06-01,SCHEDULED,1675,,,42.350365,-71.07294,0101000020E61000007FA4880CABC451C0DE54A4C2D82C4540,249.0,,,8,39,IN_TRANSIT_TO,2024-06-01 03:25:55-06:00,,173,20.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717233958
2471876,y1201,61885868,y1201,0,0 days 05:30:00,2024-06-01,SCHEDULED,1201,,,42.347538,-71.07442,0101000020E6100000C68A1A4CC3C451C0020F0C207C2C4540,213.0,,,1,39,STOPPED_AT,2024-06-01 03:25:57-06:00,,23391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717233958
